Therapieart;Bezeichnung;Substanzname;Weitere_Bezeichnung;Tumorbezogene_Therapie;Hauptgruppe;Untergruppe;ATC_Kode
SO;Alendronat;Alendronsäure;Fosamax, Tevanate, Tevabone, Binosto, Alendronat, Colecalcif;nein;Supportiv;Bisphosphonat;M05BA04
SO;Alendronsäure;Alendronsäure;Fosamax, Tevanate, Tevabone, Binosto, Alendronat, Colecalcif;nein;Supportiv;Bisphosphonat;M05BA04
SO;Binosto;Alendronsäure;Fosamax, Tevanate, Tevabone, Binosto, Alendronat, Colecalcif;nein;Supportiv;Bisphosphonat;M05BA04
SO;Colecalcif;Alendronsäure;Fosamax, Tevanate, Tevabone, Binosto, Alendronat, Colecalcif;nein;Supportiv;Bisphosphonat;M05BA04
SO;Fosamax;Alendronsäure;Fosamax, Tevanate, Tevabone, Binosto, Alendronat, Colecalcif;nein;Supportiv;Bisphosphonat;M05BA04
SO;Tevabone;Alendronsäure;Fosamax, Tevanate, Tevabone, Binosto, Alendronat, Colecalcif;nein;Supportiv;Bisphosphonat;M05BA04
SO;Tevanate;Alendronsäure;Fosamax, Tevanate, Tevabone, Binosto, Alendronat, Colecalcif;nein;Supportiv;Bisphosphonat;M05BA04
ZS;Alisertib;Alisertib;;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;
SO;Alitrederm;Alitretinoin;Alitrederm, Panretin, Toctino;nein;Nicht supportiv;Sonstige Substanz;D11AH04, L01XX22
SO;Alitretinoin;Alitretinoin;Alitrederm, Panretin, Toctino;nein;Nicht supportiv;Sonstige Substanz;D11AH04, L01XX22
SO;Panretin;Alitretinoin;Alitrederm, Panretin, Toctino;nein;Nicht supportiv;Sonstige Substanz;D11AH04, L01XX22
SO;Toctino;Alitretinoin;Alitrederm, Panretin, Toctino;nein;Nicht supportiv;Sonstige Substanz;D11AH04, L01XX22
SO;Alizaprid;Alizaprid;Vergentan;nein;Supportiv;Antiemetikum;A03FA05
SO;Vergentan;Alizaprid;Vergentan;nein;Supportiv;Antiemetikum;A03FA05
SZ;Allogene Stammzellen;Allogene Stammzellen;;ja;zelluläre Therapie;zelluläre Therapie;
ZS;Alpelisib;Alpelisib;Piqray;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EM03
ZS;Piqray;Alpelisib;Piqray;ja;Anderes antineoplastisches Mittel;Proteinkinase-Inhibitor;L01EM03
